ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
AFFX-M27830_M_at	0.1741	0.00055322	-3.648672	-0.3222	-1.8918951		
216373_at	0.1741	0.0005603	-3.64467	-0.3328	-1.7247565	TAPT1	transmembrane anterior posterior transformation 1
221943_x_at	0.1741	0.00056269	-3.643335	-0.3363	-0.9658555	RPL38	ribosomal protein L38
205347_s_at	0.1744	0.00057145	-3.638472	-0.3491	-1.5099599	TMSB15B///TMSB15A	thymosin beta 15B///thymosin beta 15a
215806_x_at	0.1749	0.00058081	3.633355	-0.3626	1.2864564	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2
207042_at	0.1782	0.00059971	-3.623258	-0.3891	-1.1819226	E2F2	E2F transcription factor 2
221858_at	0.1839	0.00062711	-3.609144	-0.4261	-1.008382	TBC1D12	TBC1 domain family member 12
215069_at	0.1855	0.0006589	-3.593494	-0.4671	-1.0149287	NMT2	N-myristoyltransferase 2
208965_s_at	0.1855	0.00066073	-3.592612	-0.4694	-0.9446968	IFI16	interferon gamma inducible protein 16
AFFX-HUMRGE/M10098_M_at	0.1855	0.0006833	-3.581958	-0.4972	-2.1421258		
221969_at	0.1855	0.00068899	-3.579327	-0.5041	-1.0936764	PAX5	paired box 5
207836_s_at	0.1855	0.00069359	-3.577213	-0.5096	-1.3045078	RBPMS	RNA binding protein with multiple splicing
216920_s_at	0.1855	0.00069406	3.576996	-0.5102	1.1647939	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2
215024_at	0.1855	0.00069437	-3.576857	-0.5105	-1.2855584	CCZ1B	CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated
211781_x_at	0.1855	0.00070059	-3.574022	-0.5179	-0.9299413		
217059_at	0.1855	0.00070751	-3.570897	-0.526	-1.3205469	MUC7	mucin 7, secreted
209881_s_at	0.1895	0.00073649	-3.558122	-0.5593	-1.0919489	LAT	linker for activation of T-cells
215907_at	0.1895	0.00074001	-3.5566	-0.5632	-1.170286		
215169_at	0.1926	0.00076652	-3.545375	-0.5923	-1.5285999	SLC35E2B///SLC35E2	solute carrier family 35 member E2B///solute carrier family 35 member E2
214860_at	0.1926	0.00076918	-3.544267	-0.5952	-1.2123893	SLC9A7	solute carrier family 9 member A7
206928_at	0.1935	0.0007814	-3.539236	-0.6083	-1.1444435	ZNF124	zinc finger protein 124
216745_x_at	0.1996	0.0008193	-3.524082	-0.6474	-0.9459707		
221595_at	0.1996	0.00083747	-3.517054	-0.6656	-1.134285	RBM48	RNA binding motif protein 48
211151_x_at	0.1996	0.00084696	-3.51344	-0.6749	-1.4115137	GH1	growth hormone 1
206792_x_at	0.1996	0.00085358	-3.510943	-0.6813	-0.9698758	LOC729966///PDE4C	uncharacterized LOC729966///phosphodiesterase 4C
200612_s_at	0.1996	0.00085456	-3.510573	-0.6823	-1.2785768	AP2B1	adaptor related protein complex 2 beta 1 subunit
215529_x_at	0.1996	0.00086086	-3.508219	-0.6884	-0.9836436	DIP2A	disco interacting protein 2 homolog A
215647_at	0.1996	0.0008716	-3.504236	-0.6986	-1.4036114		
203496_s_at	0.1996	0.00087793	-3.501912	-0.7046	-1.5510824	MED1	mediator complex subunit 1
215780_s_at	0.2001	0.00088912	-3.497838	-0.7151	-1.2710519	SETSIP///SETP4///SET	SET-like protein///SET pseudogene 4///SET nuclear proto-oncogene
208067_x_at	0.2022	0.00090751	-3.491253	-0.732	-1.1530937	UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked
214250_at	0.203	0.00092704	-3.484397	-0.7496	-1.603635	NUMA1	nuclear mitotic apparatus protein 1
220557_s_at	0.203	0.00093817	-3.48055	-0.7594	-1.2036129	PACS1	phosphofurin acidic cluster sorting protein 1
212768_s_at	0.203	0.00094082	-3.479641	-0.7618	-2.2170466	OLFM4	olfactomedin 4
204458_at	0.203	0.00094754	-3.477343	-0.7677	-1.2728311	PLA2G15	phospholipase A2 group XV
208795_s_at	0.2041	0.00096179	-3.472526	-0.78	-1.0658836	MCM7	minichromosome maintenance complex component 7
216891_at	0.2078	0.00099163	-3.462657	-0.8052	-0.9828963		
205033_s_at	0.2078	0.00099774	-3.460669	-0.8103	-2.6918518	DEFA1B///DEFA3///DEFA1	defensin alpha 1B///defensin alpha 3///defensin alpha 1
210724_at	0.2094	0.00101503	-3.455109	-0.8245	-0.9766827	ADGRE3	adhesion G protein-coupled receptor E3
221237_s_at	0.2129	0.00104762	-3.444873	-0.8506	-0.85753	OSBP2	oxysterol binding protein 2
202761_s_at	0.2129	0.00106436	-3.439728	-0.8637	-1.1064995	SYNE2	spectrin repeat containing nuclear envelope protein 2
214370_at	0.2129	0.00107163	-3.43752	-0.8693	-2.0274255	S100A8	S100 calcium binding protein A8
213742_at	0.2129	0.0010931	-3.431076	-0.8857	-1.0178935	SRSF11	serine and arginine rich splicing factor 11
216508_x_at	0.2129	0.00110856	-3.426511	-0.8973	-0.8158588		
201083_s_at	0.2129	0.00111104	-3.425785	-0.8991	-1.115975	BCLAF1	BCL2 associated transcription factor 1
221996_s_at	0.2129	0.0011154	-3.42451	-0.9023	-1.0735363	CLTB	clathrin light chain B
212177_at	0.2129	0.00113454	-3.418972	-0.9164	-1.0336663	PNISR	PNN interacting serine and arginine rich protein
215204_at	0.2129	0.00113891	-3.41772	-0.9196	-1.2937858		
213089_at	0.2129	0.00114164	-3.416942	-0.9215	-0.9753559	LOC100272216	uncharacterized LOC100272216
216161_at	0.2129	0.00115822	-3.412242	-0.9334	-1.0951539	SBNO1	strawberry notch homolog 1
207141_s_at	0.2129	0.00116174	-3.411256	-0.9359	-1.0368231	KCNJ3	potassium voltage-gated channel subfamily J member 3
213942_at	0.2129	0.00117757	-3.40684	-0.9471	-1.0681897	MEGF6	multiple EGF like domains 6
207311_at	0.2129	0.00117867	-3.406535	-0.9479	-1.0140118	DOC2B	double C2 domain beta
219738_s_at	0.2129	0.00120926	-3.398172	-0.969	-1.5135401	PCDH9	protocadherin 9
220993_s_at	0.2129	0.00121556	-3.396472	-0.9733	-1.1585037	GPR63	G protein-coupled receptor 63
215155_at	0.2129	0.00122213	-3.394711	-0.9777	-1.3159018	HEXA	hexosaminidase subunit alpha
217158_at	0.2129	0.00123923	-3.390168	-0.9892	-1.0629788	PTGER4P2-CDK2AP2P2	PTGER4P2-CDK2AP2P2 readthrough, transcribed pseudogene
208784_s_at	0.2129	0.00124009	-3.38994	-0.9898	-0.9052951	KLHDC3	kelch domain containing 3
204671_s_at	0.2129	0.00126044	-3.384614	-1.0032	-1.0648207	ANKRD6	ankyrin repeat domain 6
206789_s_at	0.2129	0.00126671	-3.382988	-1.0073	-0.8829262	POU2F1	POU class 2 homeobox 1
208797_s_at	0.2129	0.00127123	-3.381821	-1.0102	-1.3362497	GOLGA8A	golgin A8 family member A
209122_at	0.2129	0.00127709	3.380314	-1.014	1.0316555	PLIN2	perilipin 2
216524_x_at	0.2129	0.00127905	-3.379813	-1.0153	-0.9047627		
207492_at	0.2129	0.00128005	-3.379556	-1.0159	-0.8831064	NGLY1	N-glycanase 1
205787_x_at	0.2129	0.00129113	-3.376732	-1.023	-0.7961816	LOC441155///ZC3H11A	zinc finger CCCH-type domain-containing-like///zinc finger CCCH-type containing 11A
213229_at	0.2129	0.00129822	-3.374935	-1.0275	-1.026951	DICER1	dicer 1, ribonuclease III
201170_s_at	0.2129	0.00130505	3.373215	-1.0319	1.2598668	BHLHE40	basic helix-loop-helix family member e40
201353_s_at	0.2129	0.00132727	-3.367673	-1.0458	-0.9152747	BAZ2A	bromodomain adjacent to zinc finger domain 2A
202987_at	0.2129	0.00132811	-3.367465	-1.0463	-0.8164885	TRAF3IP2	TRAF3 interacting protein 2
212443_at	0.2129	0.00133292	-3.366279	-1.0493	-1.7725654	NBEAL2	neurobeachin like 2
200747_s_at	0.2129	0.0013377	-3.365103	-1.0522	-1.2590005	NUMA1	nuclear mitotic apparatus protein 1
208069_x_at	0.2172	0.00137409	-3.356282	-1.0743	-1.5223245	GH2///GH1///CSHL1///CSH1	growth hormone 2///growth hormone 1///chorionic somatomammotropin hormone like 1///chorionic somatomammotropin hormone 1
201996_s_at	0.2172	0.00140077	-3.349952	-1.0902	-1.0450871	SPEN	spen family transcriptional repressor
212300_at	0.2172	0.00140363	-3.349279	-1.0919	-1.1133114	TXLNA	taxilin alpha
207317_s_at	0.2172	0.0014037	-3.349263	-1.0919	-0.9605747	CASQ2	calsequestrin 2
222141_at	0.2183	0.0014205	-3.345343	-1.1017	-1.454198	KLHL22	kelch like family member 22
218054_s_at	0.2226	0.00145851	-3.336635	-1.1235	-0.9757117	KXD1	KxDL motif containing 1
220609_at	0.2228	0.0014784	-3.332163	-1.1346	-1.4459545	LOC202181	SUMO interacting motifs containing 1 pseudogene
204947_at	0.2228	0.00147995	-3.331815	-1.1355	-1.2079573	E2F1	E2F transcription factor 1
217762_s_at	0.2232	0.00149273	-3.328976	-1.1426	-1.3823463	RAB31	RAB31, member RAS oncogene family
213015_at	0.2262	0.00152255	-3.322436	-1.1588	-0.8938835	BBX	BBX, HMG-box containing
204696_s_at	0.2271	0.00153862	-3.31896	-1.1675	-0.9873226	CDC25A	cell division cycle 25A
208230_s_at	0.2275	0.00155195	-3.316105	-1.1746	-0.9868469	NRG1	neuregulin 1
212629_s_at	0.228	0.00156553	-3.313218	-1.1818	-1.2137726	PKN2	protein kinase N2
208657_s_at	0.2306	0.00160754	-3.304438	-1.2036	-1.078666	SEPT9	septin 9
219135_s_at	0.2306	0.00161236	-3.303444	-1.206	-1.3850187	LMF1	lipase maturation factor 1
211398_at	0.2306	0.0016142	-3.303066	-1.207	-0.8996914	FGFR2	fibroblast growth factor receptor 2
214422_at	0.2311	0.00162847	-3.300143	-1.2142	-1.1620657	RAD23B	RAD23 homolog B, nucleotide excision repair protein
215338_s_at	0.2324	0.00164797	-3.296188	-1.224	-1.0567282	NKTR	natural killer cell triggering receptor
216783_at	0.2338	0.00167681	-3.29042	-1.2383	-0.8136625		
202371_at	0.2338	0.00167894	3.289997	-1.2393	1.3068569	TCEAL4	transcription elongation factor A like 4
202315_s_at	0.2353	0.0017004	-3.285771	-1.2498	-0.9459143	BCR	BCR, RhoGEF and GTPase activating protein
219863_at	0.2353	0.00171086	-3.28373	-1.2548	-0.8218004	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
204420_at	0.2359	0.00173916	3.278264	-1.2683	1.4199206	FOSL1	FOS like 1, AP-1 transcription factor subunit
210008_s_at	0.2359	0.00175031	-3.276132	-1.2735	-1.2681526	MRPS12	mitochondrial ribosomal protein S12
201942_s_at	0.2359	0.00176106	3.27409	-1.2786	1.2905162	CPD	carboxypeptidase D
201792_at	0.2359	0.0017759	-3.27129	-1.2855	-1.2088217	AEBP1	AE binding protein 1
215550_at	0.2359	0.00178056	-3.270415	-1.2876	-0.8323968	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3
1316_at	0.2359	0.00178149	-3.270242	-1.2881	-0.6647291	THRA	thyroid hormone receptor, alpha
214768_x_at	0.2359	0.00180345	-3.266151	-1.2981	-1.2008657	IGKC	immunoglobulin kappa constant
221043_at	0.2359	0.00181377	-3.264244	-1.3028	-0.7629174		
220071_x_at	0.2359	0.0018596	-3.2559	-1.3233	-0.8482295	HAUS2	HAUS augmin like complex subunit 2
210454_s_at	0.2359	0.00186812	-3.25437	-1.3271	-0.9041722	KCNJ6	potassium voltage-gated channel subfamily J member 6
208246_x_at	0.2359	0.00189001	-3.25047	-1.3366	-0.8951526		
207474_at	0.2359	0.00189251	-3.250026	-1.3377	-1.4582412	SNRK	SNF related kinase
204805_s_at	0.2359	0.00189294	-3.24995	-1.3379	-2.0134098	H1FX	H1 histone family member X
209558_s_at	0.2359	0.00189363	-3.249828	-1.3382	-1.3013043	HIP1R	huntingtin interacting protein 1 related
205049_s_at	0.2359	0.00190828	-3.247246	-1.3446	-1.4619	CD79A	CD79a molecule
210567_s_at	0.2359	0.00191998	-3.245197	-1.3496	-0.9803147	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase
219985_at	0.2359	0.00192032	-3.245138	-1.3497	-1.3363892	HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1
217046_s_at	0.2359	0.00192444	-3.244419	-1.3515	-1.0141433	AGER	advanced glycosylation end-product specific receptor
202818_s_at	0.2359	0.00193358	-3.24283	-1.3554	-0.8831882	TCEB3	transcription elongation factor B subunit 3
218745_x_at	0.2359	0.00193668	-3.242293	-1.3567	-1.0766138	TMEM161A	transmembrane protein 161A
207227_x_at	0.2359	0.00194749	-3.240425	-1.3613	-0.9401128	RFPL2	ret finger protein like 2
212212_s_at	0.2359	0.00195088	-3.239841	-1.3627	-1.0563817	INTS1	integrator complex subunit 1
221446_at	0.2359	0.00195887	-3.238469	-1.366	-0.9104914	ADAM30	ADAM metallopeptidase domain 30
217013_at	0.2368	0.00200587	-3.230505	-1.3855	-1.0425592	AZGP1P1	alpha-2-glycoprotein 1, zinc-binding pseudogene 1
222337_at	0.2368	0.00201316	-3.229285	-1.3885	-1.0351182		
207254_at	0.2368	0.00201791	-3.228494	-1.3904	-1.2098362	SLC15A1	solute carrier family 15 member 1
202152_x_at	0.2368	0.00202896	-3.226657	-1.3949	-1.0871719	USF2	upstream transcription factor 2, c-fos interacting
213228_at	0.2368	0.00203443	-3.225751	-1.3971	-1.0930934	PDE8B	phosphodiesterase 8B
212332_at	0.2368	0.00203801	-3.22516	-1.3986	-1.326796	RBL2	RB transcriptional corepressor like 2
210333_at	0.2368	0.00204004	-3.224825	-1.3994	-1.072387	NR5A1	nuclear receptor subfamily 5 group A member 1
215937_at	0.2386	0.00206653	-3.220483	-1.41	-1.3346988	PTGDR	prostaglandin D2 receptor
212634_at	0.2395	0.00208554	-3.217398	-1.4175	-1.0576597	UFL1	UFM1 specific ligase 1
32029_at	0.24	0.00211056	-3.213378	-1.4273	-0.8582614	LOC101060747///PDPK1	3-phosphoinositide-dependent protein kinase 1-like///3-phosphoinositide dependent protein kinase 1
202859_x_at	0.24	0.00211371	3.212875	-1.4285	1.5965741	CXCL8	C-X-C motif chemokine ligand 8
213642_at	0.24	0.00212205	-3.211548	-1.4317	-0.8363688		
213650_at	0.2415	0.00214628	-3.207717	-1.4411	-0.8717362	LOC101930583///GOLGA8B///GOLGA8A	uncharacterized LOC101930583///golgin A8 family member B///golgin A8 family member A
39835_at	0.2436	0.00218994	-3.200916	-1.4576	-1.0989668	SBF1	SET binding factor 1
210983_s_at	0.2436	0.0021914	-3.200692	-1.4581	-1.2181962	MCM7	minichromosome maintenance complex component 7
209235_at	0.2436	0.0022	-3.199368	-1.4613	-1.1780677	CLCN7	chloride voltage-gated channel 7
213985_s_at	0.2436	0.00221352	-3.197296	-1.4664	-0.9006994	TMEM259	transmembrane protein 259
212233_at	0.2436	0.00222747	-3.195172	-1.4715	-0.9051433	MAP1B	microtubule associated protein 1B
216858_x_at	0.2436	0.00223911	-3.193408	-1.4758	-1.2315676		
216067_at	0.2436	0.0022408	-3.193153	-1.4764	-1.1981357		
206885_x_at	0.2443	0.00226925	-3.188883	-1.4868	-1.4463839	GH1	growth hormone 1
203202_at	0.2443	0.00227699	-3.18773	-1.4895	-0.786944	KRR1	KRR1, small subunit processome component homolog
212044_s_at	0.2443	0.00228055	-3.1872	-1.4908	-0.7749316	RPL27A	ribosomal protein L27a
212073_at	0.245	0.00229766	-3.184667	-1.497	-1.134513	CSNK2A1	casein kinase 2 alpha 1
212384_at	0.2483	0.00234063	-3.178384	-1.5122	-1.3168833	ATP6V1G2-DDX39B///SNORD84///DDX39B	ATP6V1G2-DDX39B readthrough (NMD candidate)///small nucleolar RNA, C/D box 84///DEAD-box helicase 39B
204914_s_at	0.2483	0.00236767	-3.174486	-1.5216	-2.273739	SOX11	SRY-box 11
215978_x_at	0.2483	0.00236768	-3.174484	-1.5216	-0.902811	ZNF721	zinc finger protein 721
222214_at	0.2483	0.00239891	-3.170034	-1.5323	-0.9255867		
220024_s_at	0.2483	0.00240196	3.169602	-1.5334	1.3332942	PRX	periaxin
202018_s_at	0.2483	0.00241252	-3.168111	-1.5369	-2.7042225	LTF	lactotransferrin
220028_at	0.2483	0.00243459	-3.165014	-1.5444	-0.8222194	ACVR2B	activin A receptor type 2B
205755_at	0.2483	0.00244094	-3.164128	-1.5465	-1.3236743	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3
200675_at	0.2483	0.00244272	-3.163881	-1.5471	-1.0053078	CD81	CD81 molecule
212023_s_at	0.2483	0.0024563	-3.161995	-1.5517	-0.8681014	MKI67	marker of proliferation Ki-67
207146_at	0.2483	0.0024606	-3.161399	-1.5531	-0.9280107	KRT32	keratin 32
219740_at	0.2483	0.00246271	-3.161108	-1.5538	-1.0519069	VASH2	vasohibin 2
206660_at	0.2486	0.00248716	-3.157743	-1.5619	-1.9842714	IGLL1	immunoglobulin lambda like polypeptide 1
219965_s_at	0.2486	0.00248788	-3.157646	-1.5621	-1.0677023	MAGIX	MAGI family member, X-linked
202241_at	0.2493	0.00250621	3.155145	-1.5682	1.0205333	TRIB1	tribbles pseudokinase 1
203911_at	0.2495	0.0025191	-3.153396	-1.5724	-0.7342125	RAP1GAP	RAP1 GTPase activating protein
217784_at	0.2496	0.00253191	-3.151667	-1.5765	-1.188538	YKT6	YKT6 v-SNARE homolog (S. cerevisiae)
211144_x_at	0.2508	0.0025613	3.147732	-1.586	1.3307905	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2
218550_s_at	0.2508	0.00256644	-3.147048	-1.5876	-0.9849749	LRRC20	leucine rich repeat containing 20
207269_at	0.2522	0.00261042	-3.141246	-1.6015	-1.609115	DEFA4	defensin alpha 4
220001_at	0.2522	0.00261422	-3.140749	-1.6027	-1.3526455	PADI4	peptidyl arginine deiminase 4
217729_s_at	0.2522	0.00261988	-3.14001	-1.6045	-1.1756086	AES	amino-terminal enhancer of split
214808_at	0.2522	0.00263751	-3.137718	-1.61	-1.3217655		
208132_x_at	0.2522	0.00266028	-3.134779	-1.617	-1.2148316	PRRC2A	proline rich coiled-coil 2A
206086_x_at	0.2522	0.0026683	-3.133749	-1.6195	-1.1463325	HFE	hemochromatosis
202549_at	0.2522	0.00267056	-3.133461	-1.6202	-1.0822837	VAPB	VAMP associated protein B and C
207798_s_at	0.2522	0.00267845	-3.13245	-1.6226	-1.38122	ATXN2L	ataxin 2 like
215244_at	0.2522	0.00268215	-3.131979	-1.6237	-0.8263585	DGCR5	DiGeorge syndrome critical region gene 5 (non-protein coding)
203422_at	0.2533	0.00270562	-3.128996	-1.6309	-1.0127029	POLD1	DAN polymerase delta 1, catalytic subunit
213791_at	0.2545	0.00273393	-3.125431	-1.6394	-1.1853275	PENK	proenkephalin
208879_x_at	0.2545	0.00274361	-3.124221	-1.6423	-1.126053	PRPF6	pre-mRNA processing factor 6
217656_at	0.2545	0.00276852	-3.121122	-1.6497	-1.2434328		
211701_s_at	0.2545	0.00277032	-3.120899	-1.6502	-1.1421518	TRO	trophinin
206056_x_at	0.2545	0.00277511	-3.120308	-1.6516	-0.9757179	SPN	sialophorin
203975_s_at	0.2553	0.00279513	-3.117842	-1.6575	-0.8408583	CHAF1A	chromatin assembly factor 1 subunit A
215179_x_at	0.2581	0.00283759	-3.112667	-1.6698	-0.7109497	PGF	placental growth factor
212555_at	0.2587	0.00287504	-3.108163	-1.6805	-0.9084018	PRKAR1B	protein kinase cAMP-dependent type I regulatory subunit beta
203796_s_at	0.2587	0.00287512	-3.108152	-1.6806	-0.9725437	BCL7A	BCL tumor suppressor 7A
222320_at	0.2587	0.00289237	-3.106096	-1.6855	-0.8136645		
221150_at	0.2587	0.00291142	-3.103839	-1.6908	-0.9457766	MEPE	matrix extracellular phosphoglycoprotein
212525_s_at	0.2587	0.00292622	-3.102094	-1.695	-0.9798296	H2AFX	H2A histone family member X
220183_s_at	0.2587	0.00293956	3.100529	-1.6987	1.0431081	NUDT6	nudix hydrolase 6
216187_x_at	0.2587	0.00294143	-3.10031	-1.6992	-0.8301439		
